"Ad name",Day,"Campaign name","Result type",Results,"Cost per result","Amount spent (INR)","Mobile app installs",CPI,Install2Activation%,"Link clicks",Impressions,"3-second video plays","Reporting starts","Reporting ends"
IN_Static_Offer-Creative-2_22/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,20.58,20.58,5,4.116,0.4,20,377,,2026-05-29,2026-05-29
IN_Static_Offer-Creative_22/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,47.97,7,6.85285714,0.14285714,41,724,,2026-05-29,2026-05-29
"CR_ gwalior_wale__Ln_Rej_Pad_22/05/26",2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,2,0,0,2,0,0,,0,,2026-05-29,2026-05-29
"IN_AI-gen_Bheem_Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.06,,,,,1,,2026-05-29,2026-05-29
"IN_AI-gen_Aaloo-Home-Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,80.04,,,,2,531,157,2026-05-29,2026-05-29
"IN_AI-gen_Aaloo-Home-Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,416.37,16,26.023125,0.4375,36,2989,1079,2026-05-29,2026-05-29
"IN_AI-gen_Bheem_Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.31,,,,,4,1,2026-05-29,2026-05-29
"IN_AI-gen_Aaloo-KBC-Loan-Management_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,,,,,0,,2026-05-29,2026-05-29
CR_techwithrajak_ScoreImprove_Pad_21/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,Subscription_Payment_Success,18,510.89444444,9196.1,282,32.61028369,0.46453901,381,108478,17994,2026-05-29,2026-05-29
CR_vimal_official.__ScoreImprove_Pad_21/05/26,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,0,0,8,0,0.625,,0,,2026-05-29,2026-05-29
CR_Irshad_Loan-Rejection_25/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,7,0,0.42857143,,0,,2026-05-29,2026-05-29
CR_btvishnuraj_ScoreImprove_UGC_15/05/26,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,86.76,86.76,3,28.92,0.33333333,10,935,395,2026-05-29,2026-05-29
CR_@sujjithra__HighEMI_Pad_18/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,0,0,4,0,0,,0,,2026-05-29,2026-05-29
CR_@jxseem.__Ln_Rej_Pad_18/05/26,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,,,,53.12,6,8.85333333,0.66666667,9,604,279,2026-05-29,2026-05-29
CR_btvishnuraj_ScoreImprove_Pad_16/05/26,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,,,,536.91,3,178.97,0.66666667,29,6195,2286,2026-05-29,2026-05-29
CR_Mikhil_Ln_Rej_Pad_16/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,,,,30.63,,,,1,315,175,2026-05-29,2026-05-29
CR_Milan_Ln_Rej_Pad_16/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,5,0,0.6,,0,,2026-05-29,2026-05-29
CR_krishna_ms_77_Ln_Rej_Pad_16/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,126.75,126.75,8,15.84375,0.125,10,1987,746,2026-05-29,2026-05-29
CR_Milan_Ln_Rej_Pad_15/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,3,293.34333333,880.03,53,16.60433962,0.47169811,78,10054,5053,2026-05-29,2026-05-29
CR_Uniqueteam_Ln_Rej_Pad_15/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,1,0,1,,0,,2026-05-29,2026-05-29
CR_Suman_HighEMI_Pad_15/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,1087.77,2175.54,53,41.04792453,0.32075472,86,12181,5884,2026-05-29,2026-05-29
CR_rishu_ustad74_ScoreImprove_Pad_18/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,0,2,0,1,,0,,2026-05-29,2026-05-29
CR_Smiley_Ln_Rej_Pad_15/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,,,,461.99,14,32.99928571,0.5,29,7045,2861,2026-05-29,2026-05-29
CR_Anandhi_Ln_Rej_Pad_15/05/26,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,,,,105.19,2,52.595,0.5,9,1035,427,2026-05-29,2026-05-29
fb_srn_app-adr_abo_ttmk_subscribe_bau_broad_CR_Sibi_pain_video_na_15052025,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,,,,74.37,1,74.37,0,1,508,287,2026-05-29,2026-05-29
fb_srn_app-adr_abo_ttmk_subscribe_bau_broad_CR_mittai_newbike_video_na_15052025,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,Subscription_Payment_Success,4,322.2475,1288.99,46,28.02152174,0.36956522,108,14325,6494,2026-05-29,2026-05-29
"CR_Shubham_HighEMI_UGC_26/04/26 - Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,0,0,4,0,0.75,,0,,2026-05-29,2026-05-29
"CR_Vaibhav_Ln_Rej_Pad_27/04/26_01 - Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.64,,,,,4,1,2026-05-29,2026-05-29
"CR_Parikshit_Ln_Rej_Pad_27/04/26_01 - Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,45.92,,,,3,676,263,2026-05-29,2026-05-29
"CR_Kiran_Fake_Ln_UGC_27/06/26_01 - Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,4,0,0,4,0,0.25,,0,,2026-05-29,2026-05-29
CR_Darshuu_Ln_Rej_Pad_27/04/26_01,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,3,121.27,363.81,11,33.07363636,0.45454545,21,3679,1831,2026-05-29,2026-05-29
CR_@rashi_drops_Ln_Rej_Pad_18/05/26,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,,,,3.75,,,,,58,20,2026-05-29,2026-05-29
IN_AI-gen_Turtle-Dance_18/05/26,2026-05-29,fb_app-adr_abo_india_subscribe_test_broad_14may2026,Subscription_Payment_Success,6,238.32833333,1429.97,29,49.30931034,0.31034483,43,7861,2039,2026-05-29,2026-05-29
IN_AI_ScoreImprove_UGC_20/05/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,6,442.82833333,2656.97,91,29.19747253,0.36263736,316,25109,6632,2026-05-29,2026-05-29
"CR_Suman_HighEMI_Pad_15/05/26 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,3,0,0,2,0,1.5,,0,,2026-05-29,2026-05-29
CR_Sujata_ScoreImprove_UGC_20/05/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,5,742.016,3710.08,118,31.44135593,0.33898305,326,32461,11247,2026-05-29,2026-05-29
"fb_srn_app-adr_abo_ttmk_subscribe_bau_broad_CR_Jayanth_funny_video_na_15052025 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,2,208.065,416.13,22,18.915,0.40909091,54,4152,1958,2026-05-29,2026-05-29
"CR_Smiley_Ln_Rej_Pad_15/05/26 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,,,,23.84,2,11.92,1,,312,102,2026-05-29,2026-05-29
CR_seetha____46_Fake_Ln_Pad_18/05/26,2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,5,707.544,3537.72,199,17.77748744,0.28140704,449,38883,23721,2026-05-29,2026-05-29
CR_@rashi_drops_Ln_Rej_Pad_18/05/26,2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,,,,0.73,1,0.73,0,,17,5,2026-05-29,2026-05-29
CR_@jxseem.__Ln_Rej_Pad_18/05/26,2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,,,,68.92,2,34.46,0,5,826,334,2026-05-29,2026-05-29
"CR_Anandhi_Ln_Rej_Pad_15/05/26 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,,,,0.12,,,,,2,1,2026-05-29,2026-05-29
"fb_srn_app-adr_abo_ttmk_subscribe_bau_broad_CR_karan_funny_video_na_15052025 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,1,0,0,1,0,1,,0,,2026-05-29,2026-05-29
"CR_@deepikanaresh_official_Ln_Rej_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,10,628.595,6285.95,130,48.35346154,0.43846154,587,47415,23278,2026-05-29,2026-05-29
"CR_vivekvineshindi_Enquiry_UGC_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,0,0,3,0,0.66666667,,0,,2026-05-29,2026-05-29
CR_vikash.san007_HighEMI_Pad_18/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,5,0,0.4,,0,,2026-05-29,2026-05-29
CR_vikash.san007_HighEMI_Pad_18/05/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,44.17,3,14.72333333,0.66666667,4,450,164,2026-05-29,2026-05-29
"CR_teamcham__Ln_Rej_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.23,,,,,5,2,2026-05-29,2026-05-29
"CR_teamcham__Ln_Rej_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,8.56,,,,,107,55,2026-05-29,2026-05-29
"CR_rishu_ustad74_ScoreImprove_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,284.98,284.98,16,17.81125,0.25,20,3013,1501,2026-05-29,2026-05-29
"CR_teamcham__Ln_Rej_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.19,,,,,5,2,2026-05-29,2026-05-29
"CR_rishu_ustad74_ScoreImprove_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,1718.14,60,28.63566667,0.26666667,138,19444,9401,2026-05-29,2026-05-29
"CR_vivekvineshindi_Enquiry_UGC_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,3,0,0,27,0,0.59259259,,0,,2026-05-29,2026-05-29
CR_vivekvineshindi_Enquiry_UGC_18/05/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,3,883.35666667,2650.07,101,26.23831683,0.34653465,204,22546,9253,2026-05-29,2026-05-29
"CR_rishu_ustad74_ScoreImprove_Pad_18/05/26 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,0.65,,,,,2,2,2026-05-29,2026-05-29
CR_Vijender_ScoreImprove_25/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,6,0,0,22,0,0.77272727,,0,,2026-05-29,2026-05-29
CR_NatkhatGang_Loan-Rejection_25/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,46,423.41847826,19477.25,1047,18.60291309,0.34097421,1767,231828,123509,2026-05-29,2026-05-29
"CR_Aarchit_UGC_ScoreImprove_02/04/26_01 - Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,0,0,1,0,2,,0,,2026-05-29,2026-05-29
CR_suneetha____official___Ln_Rej_Pad_29/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,,,,424.62,14,30.33,0.35714286,21,4526,2169,2026-05-29,2026-05-29
UGC_Vidrow_SC9V1_Red_Int_Fortuner_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,14.72,,,,1,76,20,2026-05-29,2026-05-29
UGC_Vidrow_SC8V1_Score_Low_Cockroach_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,62.34,,,,2,442,131,2026-05-29,2026-05-29
AI_Vidrow_SC7V1_Personified_Bully_Loan_Char_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,3,362.00666667,1086.02,24,45.25083333,0.5,46,7064,1226,2026-05-29,2026-05-29
UGC_Vidrow_SC6V2_Mystery_Loan_With_Screens_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,154.34,1,154.34,1,9,1127,407,2026-05-29,2026-05-29
UGC_Vidrow_SC5V2_Loan_Rejection_With_Screens_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,11,628.36727273,6912.04,68,101.64764706,0.38235294,338,60141,26034,2026-05-29,2026-05-29
UGC_Vidrow_SC4V2_Low_Score_With_Screens_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,1649.15,10,164.915,0.3,91,12106,5883,2026-05-29,2026-05-29
UGC_Vidrow_SC3V3_HighInterest_Short_App_Screens_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,301.33,4,75.3325,0.75,15,1834,495,2026-05-29,2026-05-29
UGC_Vidrow_SC2V2_Bank_Chakkar_With_Screens_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,3,693.02333333,2079.07,25,83.1628,0.28,87,15480,5875,2026-05-29,2026-05-29
CR_thayyub_shaik__Ln_Rej_Pad_29/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,Subscription_Payment_Success,10,848.427,8484.27,250,33.93708,0.456,525,106329,46737,2026-05-29,2026-05-29
IN_AI-gen_Vikram-Betal-Tamil_Loan-Rejection_29/05/26,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,,,,67.57,1,67.57,0,4,553,175,2026-05-29,2026-05-29
CR_avinashsaini83385_Ln_Rej_Pad_29/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,81,615.38111111,49845.87,1317,37.848041,0.39179954,4932,640589,404638,2026-05-29,2026-05-29
CR_sugar_candy_anky_Ln_Rej_Pad_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,68,694.94602941,47256.33,1266,37.32727488,0.42022117,3504,527656,275095,2026-05-29,2026-05-29
CR_vanshika_gagneja_Enquiry_Pad_29/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,7,934.14142857,6538.99,154,42.46097403,0.3961039,577,75375,45011,2026-05-29,2026-05-29
IN_Static_Ln_Rej_28/05/26_02,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,1661.49,1661.49,20,83.0745,0.5,534,12392,,2026-05-29,2026-05-29
IN_Static_Red_Int_28/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,121.99,1,121.99,0,79,2026,21,2026-05-29,2026-05-29
IN_Static_Ln_Rej_28/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,1489.21,1489.21,12,124.10083333,0.16666667,297,9033,87,2026-05-29,2026-05-29
IN_AI-gen_IPL_Loan-Rejection_28/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,31,350.28774194,10858.92,389,27.91496144,0.42159383,797,115514,43509,2026-05-29,2026-05-29
IN_AI-gen_Talking-Oolka_Loan-Rejection_28/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,28.17,,,,,241,61,2026-05-29,2026-05-29
IN_AI-gen_Parrot_Loan-Rejection_28/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,143.77,4,35.9425,0,6,1441,443,2026-05-29,2026-05-29
AI_Vidrow_SC7V4_Personified_AllMix_All_Mix_29/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,281,329.35516014,92548.8,5885,15.7262192,0.40220901,9831,777824,247969,2026-05-29,2026-05-29
UGC_Vidrow_SC9V2_Score_EMI_Bike_Bike_29/05/26,2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,80.28,80.28,1,80.28,1,4,604,147,2026-05-29,2026-05-29
"CR_Mahesh_Ln_Rej_UGC_24/04/26_01 – Copy",2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,904.71,904.71,41,22.06609756,0.36585366,62,7545,2894,2026-05-29,2026-05-29
IN_Static_Free-Chat_Credit-Score-Improvement_18/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,2,58.94,117.88,7,16.84,0.42857143,155,1369,,2026-05-29,2026-05-29
